"customerkey","geographykey","fullname","gender","birthdate","yearlyincome","datefirstpurchase","city","state","region","postalcode"
11036,343,"JenniferRussell","F","1984-06-16","60000.00","2022-01-22","National City","California","United States","91950"
11037,49,"ChloeGarcia","F","1983-05-27","40000.00","2022-01-20","Cliffside","British Columbia","Canada","V8Y 1L1"
11038,6,"DianaHernandez","F","1953-09-20","10000.00","2020-02-07","Lavender Bay","New South Wales","Australia","2060"
11039,19,"MarcMartin","M","1954-06-16","30000.00","2020-02-07","Wollongong","New South Wales","Australia","2500"
11040,642,"JesseMurphy","M","1983-01-29","30000.00","2022-04-03","Tacoma","Washington","United States","98403"
11041,325,"AmandaCarter","F","1983-04-15","60000.00","2022-01-14","Glendale","California","United States","91203"
11042,338,"MeganSanchez","F","1982-12-11","70000.00","2022-01-21","Los Angeles","California","United States","90012"
11043,325,"NathanSimmons","M","1981-08-23","60000.00","2022-05-08","Glendale","California","United States","91203"
11044,25,"AdamFlores","M","1954-11-21","20000.00","2020-02-28","Hervey Bay","Queensland","Australia","4655"
11045,8,"LeonardNara","M","1955-11-16","30000.00","2022-04-10","Matraville","New South Wales","Australia","2036"
11046,6,"ChristineYuan","F","1955-09-19","30000.00","2020-02-06","Lavender Bay","New South Wales","Australia","2060"
11047,34,"JaclynLu","F","1955-08-27","30000.00","2020-02-03","Geelong","Victoria","Australia","3220"
11048,39,"JeremyPowell","M","1956-05-21","30000.00","2020-02-10","Sunbury","Victoria","Australia","3429"
11049,307,"CarolRai","F","1986-01-15","40000.00","2022-03-09","Chula Vista","California","United States","91910"
11050,31,"AlanZheng","M","1957-03-06","30000.00","2020-02-20","Hobart","Tasmania","Australia","7001"
11051,21,"DanielJohnson","M","1957-01-31","30000.00","2022-12-29","Caloundra","Queensland","Australia","4551"
11052,8,"HeidiLopez","F","1957-02-03","40000.00","2020-02-17","Matraville","New South Wales","Australia","2036"
11053,359,"AnaPrice","F","1986-02-17","60000.00","2022-01-17","San Diego","California","United States","92102"
11054,34,"DeannaMunoz","F","1957-09-07","40000.00","2020-02-03","Geelong","Victoria","Australia","3220"
11055,22,"GilbertRaje","M","1957-09-02","40000.00","2020-01-31","East Brisbane","Queensland","Australia","4169"
11056,10,"MicheleNath","F","1958-10-01","40000.00","2020-02-26","Newcastle","New South Wales","Australia","2300"
11057,5,"CarlAndersen","M","1970-04-07","70000.00","2020-02-22","Lane Cove","New South Wales","Australia","1597"
11058,29,"MarcDiaz","M","1965-04-23","80000.00","2020-03-09","Findon","South Australia","Australia","5023"
11059,27,"AshleeAndersen","F","1959-09-29","80000.00","2022-02-18","Townsville","Queensland","Australia","4810"
11060,40,"JonZhou","M","1959-09-14","80000.00","2020-03-19","Warrnambool","Victoria","Australia","3280"
11061,23,"ToddGao","M","1976-02-20","80000.00","2020-03-13","Gold Coast","Queensland","Australia","4217"
11062,547,"NoahPowell","M","1981-03-01","40000.00","2022-01-07","Portland","Oregon","United States","97205"
11063,634,"AngelaMurphy","F","1980-10-04","40000.00","2022-01-12","Redmond","Washington","United States","98052"
11064,315,"ChaseReed","M","1981-06-05","40000.00","2022-01-25","Downey","California","United States","90241"
11065,331,"JessicaHenderson","F","1979-04-08","60000.00","2022-02-10","La Jolla","California","United States","92806"
11066,543,"GraceButler","F","1979-05-27","70000.00","2022-05-31","Lebanon","Oregon","United States","97355"
11067,632,"CalebCarter","M","1982-03-25","60000.00","2022-08-18","Port Orchard","Washington","United States","98366"
11068,40,"TiffanyLiang","F","1966-09-19","80000.00","2022-04-30","Warrnambool","Victoria","Australia","3280"
11069,23,"CarolynNavarro","F","1966-09-17","80000.00","2020-04-17","Gold Coast","Queensland","Australia","4217"
11070,39,"WillieRaji","M","1960-10-02","80000.00","2020-04-28","Sunbury","Victoria","Australia","3429"
11071,24,"LindaSerrano","F","1960-12-23","80000.00","2022-03-01","Hawthorne","Queensland","Australia","4171"
11072,17,"CaseyLuo","F","1960-08-05","80000.00","2020-03-31","St. Leonards","New South Wales","Australia","2065"
11073,16,"AmyYe","F","1962-02-11","70000.00","2022-03-23","Springwood","New South Wales","Australia","2777"
11074,28,"LeviArun","M","1962-02-25","70000.00","2022-03-23","Cloverdale","South Australia","Australia","6105"
11075,32,"FeliciaJimenez","F","1963-05-16","80000.00","2020-04-28","Bendigo","Victoria","Australia","3550"
11076,19,"BlakeAnderson","M","1963-01-10","80000.00","2020-04-21","Wollongong","New South Wales","Australia","2500"
11077,36,"LeahYe","F","1963-03-19","80000.00","2020-04-15","Melton","Victoria","Australia","3337"
11078,49,"GinaMartin","F","1985-01-06","40000.00","2022-02-15","Cliffside","British Columbia","Canada","V8Y 1L1"
11079,34,"DonaldGonzalez","M","1970-03-07","160000.00","2022-03-15","Geelong","Victoria","Australia","3220"
11080,30,"DamienChander","M","1965-01-13","170000.00","2020-04-10","Perth","South Australia","Australia","6006"
11081,311,"SavannahBaker","F","1972-01-21","120000.00","2022-02-12","Concord","California","United States","94519"
11082,322,"AngelaButler","F","1972-02-01","130000.00","2022-01-22","Fremont","California","United States","94536"
11083,336,"AlyssaCox","F","1977-03-11","130000.00","2022-01-06","Lincoln Acres","California","United States","91950"
11084,543,"LucasPhillips","M","1963-03-12","80000.00","2022-01-04","Lebanon","Oregon","United States","97355"
11085,345,"EmilyJohnson","F","1963-01-16","60000.00","2022-12-06","Newport Beach","California","United States","92625"
11086,369,"RyanBrown","M","1963-06-22","70000.00","2022-07-02","Santa Monica","California","United States","90401"
11087,307,"TamaraLiang","F","1963-04-02","70000.00","2022-02-25","Chula Vista","California","United States","91910"
11088,359,"HunterDavis","M","1963-05-25","80000.00","2022-01-13","San Diego","California","United States","92102"
11089,337,"AbigailPrice","F","1962-08-05","80000.00","2021-12-29","Long Beach","California","United States","90802"
11090,338,"TrevorBryant","M","1968-12-13","90000.00","2020-08-07","Los Angeles","California","United States","90012"
11091,50,"DaltonPerez","M","1962-10-02","90000.00","2022-01-29","Haney","British Columbia","Canada","V2W 1W2"
11092,22,"CherylDiaz","F","1972-11-02","90000.00","2020-04-08","East Brisbane","Queensland","Australia","4169"
11093,19,"AimeeHe","F","1978-09-06","100000.00","2020-04-07","Wollongong","New South Wales","Australia","2500"
11094,33,"CedricMa","M","1967-09-29","70000.00","2022-04-07","Cranbourne","Victoria","Australia","3977"
11095,13,"ChadKumar","M","1968-02-29","70000.00","2020-04-01","Port Macquarie","New South Wales","Australia","2444"
11096,12,"AndrésAnand","M","1968-02-07","60000.00","2020-04-11","North Sydney","New South Wales","Australia","2055"
11097,40,"EdwinNara","M","1972-10-23","60000.00","2020-04-04","Warrnambool","Victoria","Australia","3280"
11098,14,"MalloryRubio","F","1966-10-29","60000.00","2022-02-11","Rhodes","New South Wales","Australia","2138"
11099,13,"AdamRoss","M","1966-09-05","60000.00","2020-04-07","Port Macquarie","New South Wales","Australia","2444"
11100,28,"LatashaNavarro","F","1966-03-15","60000.00","2020-04-16","Cloverdale","South Australia","Australia","6105"
11101,33,"AbbySai","F","1970-11-05","70000.00","2020-04-29","Cranbourne","Victoria","Australia","3977"
11102,18,"JuliaNelson","F","1970-10-19","80000.00","2022-07-16","Sydney","New South Wales","Australia","1002"
11103,3,"CassieChande","F","1981-04-12","70000.00","2020-04-15","Darlinghurst","New South Wales","Australia","2010"
11104,23,"EdgarSara","M","1975-03-08","70000.00","2020-05-04","Gold Coast","Queensland","Australia","4217"
11105,8,"CandaceFernandez","F","1970-06-27","70000.00","2020-05-14","Matraville","New South Wales","Australia","2036"
11106,40,"JessieLiu","M","1970-03-11","70000.00","2020-05-18","Warrnambool","Victoria","Australia","3280"
11107,17,"BiancaLin","F","1976-03-04","90000.00","2020-05-01","St. Leonards","New South Wales","Australia","2065"
11108,13,"KariAlvarez","F","1969-01-10","70000.00","2020-05-03","Port Macquarie","New South Wales","Australia","2444"
11109,38,"RubenKapoor","M","1980-04-30","70000.00","2020-05-10","South Melbourne","Victoria","Australia","3205"
11110,3,"CurtisYang","M","1967-12-04","60000.00","2020-05-01","Darlinghurst","New South Wales","Australia","2010"
11111,34,"MeredithGutierrez","F","1967-08-23","60000.00","2020-05-20","Geelong","Victoria","Australia","3220"
11112,25,"CrystalWang","F","1968-03-08","60000.00","2020-05-25","Hervey Bay","Queensland","Australia","4655"
11113,30,"MichealBlanco","M","1973-02-17","70000.00","2022-02-01","Perth","South Australia","Australia","6006"
11114,14,"LeslieMoreno","F","1967-11-25","70000.00","2022-03-18","Rhodes","New South Wales","Australia","2138"
11115,17,"AlvinCai","M","1967-08-12","70000.00","2022-02-10","St. Leonards","New South Wales","Australia","2065"
11116,18,"ClintonCarlson","M","1979-04-02","70000.00","2022-03-15","Sydney","New South Wales","Australia","1002"
11117,8,"AprilDeng","F","1966-08-21","70000.00","2020-05-06","Matraville","New South Wales","Australia","2036"
11118,6,"AlvinZeng","M","1962-12-31","80000.00","2022-07-10","Lavender Bay","New South Wales","Australia","2060"
11119,13,"EvanJames","M","1940-10-07","30000.00","2022-02-03","Port Macquarie","New South Wales","Australia","2444"
11120,18,"BethJiménez","F","1942-02-06","40000.00","2020-05-14","Sydney","New South Wales","Australia","1002"
11121,10,"OrlandoSuarez","M","1966-05-18","70000.00","2022-06-24","Newcastle","New South Wales","Australia","2300"
11122,12,"ByronVazquez","M","1965-09-30","70000.00","2022-02-21","North Sydney","New South Wales","Australia","2055"
11123,39,"PhilipAlvarez","M","1965-12-18","70000.00","2022-04-17","Sunbury","Victoria","Australia","3429"
11124,40,"RossJordan","M","1968-07-23","80000.00","2020-05-05","Warrnambool","Victoria","Australia","3280"
11125,37,"DanaNavarro","F","1961-10-06","70000.00","2022-01-31","Seaford","Victoria","Australia","3198"
11126,11,"ShaunCarson","M","1954-10-05","10000.00","2020-05-28","North Ryde","New South Wales","Australia","2113"
11127,361,"JanEdwards","F","1981-04-19","40000.00","2022-04-10","San Gabriel","California","United States","91776"
11128,635,"SamanthaLong","F","1981-06-03","40000.00","2022-06-19","Renton","Washington","United States","98055"
11129,638,"JuliaWright","F","1981-02-01","40000.00","2020-08-06","Sedro Woolley","Washington","United States","98284"
11130,543,"CarolineRussell","F","1985-07-05","30000.00","2022-12-09","Lebanon","Oregon","United States","97355"
11131,50,"AmandaRivera","F","1985-09-09","30000.00","2022-10-18","Haney","British Columbia","Canada","V2W 1W2"
11132,51,"MelissaRichardson","F","1986-04-25","30000.00","2022-04-09","Langford","British Columbia","Canada","V9"
11133,542,"AngelaGriffin","F","1986-03-08","30000.00","2022-12-30","Lake Oswego","Oregon","United States","97034"
11134,30,"LarryTownsend","M","1957-02-22","10000.00","2020-05-03","Perth","South Australia","Australia","6006"
11135,302,"MarcusHarris","M","1985-05-02","30000.00","2022-04-18","Burlingame","California","United States","94010"
11136,53,"BriannaMorgan","F","1984-04-24","40000.00","2022-01-03","Metchosin","British Columbia","Canada","V9"
11137,641,"JasmineTaylor","F","1984-01-17","40000.00","2022-07-31","Spokane","Washington","United States","99202"
11138,325,"LaurenDavis","F","1984-03-14","40000.00","2022-09-19","Glendale","California","United States","91203"
11139,28,"TanyaMoreno","F","1949-11-05","30000.00","2022-09-14","Cloverdale","South Australia","Australia","6105"
11140,301,"JavierAlvarez","M","1982-08-11","30000.00","2022-03-19","Burbank","California","United States","91502"
11141,314,"NicoleRamirez","F","1982-12-19","40000.00","2022-05-16","Daly City","California","United States","94015"
11142,51,"EduardoPatterson","M","1983-02-11","40000.00","2022-02-13","Langford","British Columbia","Canada","V9"
11143,334,"JonathanHenderson","M","1982-08-04","40000.00","2022-06-15","Lakewood","California","United States","90712"
11144,607,"EdwardHernandez","M","1985-03-08","40000.00","2022-01-25","Ballard","Washington","United States","98107"
11145,536,"JasmineColeman","F","1985-06-06","40000.00","2022-01-25","Beaverton","Oregon","United States","97005"
11146,8,"KarlaGoel","F","1945-02-22","40000.00","2022-02-05","Matraville","New South Wales","Australia","2036"
11147,40,"ErnestWu","M","1944-08-04","60000.00","2020-05-13","Warrnambool","Victoria","Australia","3280"
11148,22,"RossVazquez","M","1947-02-13","40000.00","2022-03-07","East Brisbane","Queensland","Australia","4169"
11149,25,"TheodoreGill","M","1946-10-18","40000.00","2022-06-04","Hervey Bay","Queensland","Australia","4655"
11150,39,"RussellShen","M","1946-09-12","40000.00","2022-03-27","Sunbury","Victoria","Australia","3429"
11151,18,"MelindaGill","F","1947-08-25","60000.00","2020-05-15","Sydney","New South Wales","Australia","1002"
11152,633,"JamesWilliams","M","1981-07-09","40000.00","2022-01-09","Puyallup","Washington","United States","98371"
11153,635,"AngelaJames","F","1981-12-21","40000.00","2022-03-29","Renton","Washington","United States","98055"
11154,553,"MeganWalker","F","1982-02-18","40000.00","2022-01-10","Woodburn","Oregon","United States","97071"
11155,301,"HunterRobinson","M","1981-07-25","40000.00","2022-01-06","Burbank","California","United States","91502"
11156,334,"MariaRoberts","F","1981-08-06","40000.00","2022-01-08","Lakewood","California","United States","90712"
11157,642,"HannahLong","F","1980-12-08","40000.00","2022-07-24","Tacoma","Washington","United States","98403"
11158,361,"JasonWright","M","1981-04-06","40000.00","2022-01-19","San Gabriel","California","United States","91776"
11159,385,"BriannaHughes","F","1981-03-16","40000.00","2022-09-08","Woodland Hills","California","United States","91364"
11160,311,"MauriceTang","M","1979-07-08","40000.00","2022-02-21","Concord","California","United States","94519"
11161,311,"EmilyWood","F","1979-10-20","40000.00","2022-06-01","Concord","California","United States","94519"
11162,331,"ChaseCox","M","1979-09-02","40000.00","2022-02-18","La Jolla","California","United States","92806"
11163,372,"GabrielWang","M","1980-06-18","40000.00","2022-05-01","Spring Valley","California","United States","91977"
11164,374,"DevinBrooks","M","1979-11-02","40000.00","2022-04-27","Torrance","California","United States","90505"
11165,348,"JocelynAlexander","F","1979-01-15","60000.00","2022-05-25","Oakland","California","United States","94611"
11166,631,"AshleyMartinez","F","1977-10-22","70000.00","2022-10-14","Olympia","Washington","United States","98501"
11167,618,"JasmineBarnes","F","1978-01-29","80000.00","2022-01-07","Issaquah","Washington","United States","98027"
11168,348,"DavidRodriguez","M","1973-11-12","80000.00","2022-01-15","Oakland","California","United States","94611"
11169,312,"BryceRichardson","M","1973-12-20","90000.00","2022-05-26","Coronado","California","United States","92118"
11170,612,"CarolHoward","F","1973-08-04","90000.00","2022-08-26","Burien","Washington","United States","98168"
11171,385,"JonathanHill","M","1978-10-05","100000.00","2020-08-20","Woodland Hills","California","United States","91364"
11172,626,"GabrielleAdams","F","1973-05-20","100000.00","2022-05-03","Lynnwood","Washington","United States","98036"
11173,552,"SarahThomas","F","1973-02-28","110000.00","2022-03-02","W. Linn","Oregon","United States","97068"
11174,338,"NicholasRobinson","M","1973-01-09","110000.00","2022-07-13","Los Angeles","California","United States","90012"
11175,300,"LuisWang","M","1968-09-01","70000.00","2020-08-28","Beverly Hills","California","United States","90210"
11176,50,"MasonRoberts","M","1979-01-21","90000.00","2022-02-02","Haney","British Columbia","Canada","V2W 1W2"
11177,359,"JoseFlores","M","1948-01-01","110000.00","2022-03-29","San Diego","California","United States","92102"
11178,334,"NathanJohnson","M","1954-08-20","100000.00","2022-02-21","Lakewood","California","United States","90712"
11179,300,"MollyRodriguez","F","1959-12-08","120000.00","2022-03-12","Beverly Hills","California","United States","90210"
11180,307,"AprilAnand","F","1948-07-01","160000.00","2022-03-17","Chula Vista","California","United States","91910"
11181,338,"DevinMartin","M","1960-02-01","170000.00","2022-05-07","Los Angeles","California","United States","90012"
11182,638,"StephanieTorres","F","1950-02-22","70000.00","2022-08-28","Sedro Woolley","Washington","United States","98284"
11183,368,"JasmineLee","F","1950-01-12","70000.00","2022-04-30","Santa Cruz","California","United States","95062"
11184,311,"MeghanHernandez","F","1955-11-13","70000.00","2022-08-10","Concord","California","United States","94519"
11185,53,"AshleyHenderson","F","1950-04-07","70000.00","2022-02-21","Metchosin","British Columbia","Canada","V9"
11186,352,"SarahPrice","F","1949-11-18","70000.00","2022-10-18","Palo Alto","California","United States","94303"
11187,612,"JenniferCooper","F","1949-08-21","60000.00","2022-04-03","Burien","Washington","United States","98168"
11188,361,"CatherineMorris","F","1950-03-06","60000.00","2022-11-01","San Gabriel","California","United States","91776"
11189,609,"LawrenceBlanco","M","1950-01-12","60000.00","2020-08-26","Bellingham","Washington","United States","98225"
11190,300,"CarsonBryant","M","1949-12-20","70000.00","2022-08-28","Beverly Hills","California","United States","90210"
11191,310,"KristiPerez","F","1951-06-17","70000.00","2020-08-11","Colma","California","United States","94014"
11192,637,"JamesBrown","M","1951-03-13","60000.00","2022-06-23","Seattle","Washington","United States","98104"
11193,553,"IanGray","M","1950-08-13","60000.00","2022-02-25","Woodburn","Oregon","United States","97071"
11194,352,"JacquelinePrice","F","1950-12-08","60000.00","2022-03-13","Palo Alto","California","United States","94303"
11195,635,"MeganHenderson","F","1951-08-10","60000.00","2022-04-14","Renton","Washington","United States","98055"
11196,536,"AlfredoRomero","M","1951-12-05","60000.00","2022-03-03","Beaverton","Oregon","United States","97005"
11197,637,"AndreaMorris","F","1951-12-16","70000.00","2022-05-02","Seattle","Washington","United States","98104"
11198,368,"BrookeSanders","F","1952-05-25","70000.00","2022-02-05","Santa Cruz","California","United States","95062"
11199,302,"JacquelineBennett","F","1957-11-02","70000.00","2022-03-18","Burlingame","California","United States","94010"
11200,69,"JasonGriffin","M","1953-05-21","70000.00","2022-02-07","Victoria","British Columbia","Canada","V8V"
11201,369,"AmandaFoster","F","1953-02-14","70000.00","2022-07-01","Santa Monica","California","United States","90401"
11202,334,"AlexiaPrice","F","1958-08-22","80000.00","2022-09-15","Lakewood","California","United States","90712"
11203,60,"LuisDiaz","M","1959-08-18","40000.00","2022-02-20","Port Hammond","British Columbia","Canada","V6B 3P7"
11204,536,"DestinyRivera","F","1953-11-29","40000.00","2022-08-09","Beaverton","Oregon","United States","97005"
11205,612,"AbbyFernandez","F","1954-01-21","40000.00","2022-07-27","Burien","Washington","United States","98168"
11206,626,"BlakeFlores","M","1954-03-24","60000.00","2022-05-11","Lynnwood","Washington","United States","98036"
11207,635,"DanielleCox","F","1954-01-16","60000.00","2022-01-31","Renton","Washington","United States","98055"
11208,325,"MariaReed","F","1953-08-03","60000.00","2022-03-04","Glendale","California","United States","91203"
11209,336,"AllisonEvans","F","1953-07-12","60000.00","2022-03-25","Lincoln Acres","California","United States","91950"
11210,383,"EdwardWood","M","1953-12-06","70000.00","2022-05-06","West Covina","California","United States","91791"
11211,50,"SamanthaRussell","F","1960-10-08","40000.00","2022-02-01","Haney","British Columbia","Canada","V2W 1W2"
11212,53,"ChloeCampbell","F","1955-05-05","40000.00","2022-01-30","Metchosin","British Columbia","Canada","V9"
11213,614,"StephanieMurphy","F","1954-11-11","60000.00","2022-03-28","Edmonds","Washington","United States","98020"
11214,545,"CharlesMiller","M","1955-05-07","60000.00","2022-08-14","Milwaukie","Oregon","United States","97222"
11215,62,"AnaPerry","F","1961-06-17","40000.00","2022-02-15","Royal Oak","British Columbia","Canada","V8X"
11216,547,"JasmineTorres","F","1955-11-17","60000.00","2020-08-15","Portland","Oregon","United States","97205"
11217,547,"NatalieAdams","F","1955-08-11","60000.00","2020-08-10","Portland","Oregon","United States","97205"
11218,642,"OliviaBrown","F","1961-09-07","60000.00","2022-02-28","Tacoma","Washington","United States","98403"
11219,553,"CharlesCook","M","1956-05-31","60000.00","2022-10-29","Woodburn","Oregon","United States","97071"
11220,310,"EricaHuang","F","1961-02-19","60000.00","2022-03-14","Colma","California","United States","94014"
11221,334,"NathanPerry","M","1955-12-08","70000.00","2022-04-07","Lakewood","California","United States","90712"
11222,369,"AlexandraRivera","F","1956-02-14","80000.00","2022-11-01","Santa Monica","California","United States","90401"
11223,52,"HaileyPatterson","F","1957-03-15","70000.00","2022-01-29","Langley","British Columbia","Canada","V3A 4R2"
11224,612,"TiffanyLi","F","1957-03-05","70000.00","2020-08-07","Burien","Washington","United States","98168"
11225,635,"MadisonLee","F","1962-02-12","60000.00","2022-06-22","Renton","Washington","United States","98055"
11226,552,"SydneyRoss","F","1962-09-23","60000.00","2022-02-21","W. Linn","Oregon","United States","97068"
11227,310,"MarshallChavez","M","1962-08-08","60000.00","2020-08-03","Colma","California","United States","94014"
11228,316,"AshleyJones","F","1956-10-16","60000.00","2022-10-25","El Cajon","California","United States","92020"
11229,355,"AdrianStewart","M","1957-06-01","70000.00","2022-07-27","Redwood City","California","United States","94063"
11230,369,"AmberTurner","F","1956-09-30","70000.00","2022-07-16","Santa Monica","California","United States","90401"
11231,611,"DennisZhang","M","1963-11-11","60000.00","2022-02-10","Bremerton","Washington","United States","98312"
11232,616,"HaileyBryant","F","1958-03-27","60000.00","2022-09-20","Everett","Washington","United States","98201"
11233,299,"ToddLi","M","1963-09-06","70000.00","2022-02-08","Berkeley","California","United States","94704"
11234,337,"AnnaGriffin","F","1958-05-19","70000.00","2022-02-08","Long Beach","California","United States","90802"
11235,607,"AngelStewart","M","1957-08-07","70000.00","2022-07-04","Ballard","Washington","United States","98107"
11236,609,"JeremyButler","M","1957-09-02","70000.00","2022-10-03","Bellingham","Washington","United States","98225"
11237,161,"ClarenceAnand","M","1964-03-22","130000.00","2020-09-05","Solingen","Nordrhein-Westfalen","Germany","42651"
11238,232,"MayraPrasad","F","1964-02-07","130000.00","2020-01-06","Birmingham","England","United Kingdom","B29 6SL"
11239,249,"LatoyaGoel","F","1969-10-02","130000.00","2020-01-19","London","England","United Kingdom","SW1P 2NU"
11240,273,"AnneHernandez","F","1964-06-09","160000.00","2020-02-27","Watford","England","United Kingdom","WA3"
11241,211,"LisaCai","F","1974-04-06","100000.00","2021-09-10","Les Ulis","Essonne","France","91940"
11242,209,"LarryMunoz","M","1963-05-11","110000.00","2021-09-19","Versailles","Yveline","France","78000"
11243,237,"RobinAlvarez","F","1963-04-08","150000.00","2020-02-21","Esher-Molesey","England","United Kingdom","EM15"
11244,267,"AlexisColeman","F","1968-11-22","170000.00","2020-02-12","Runcorn","England","United Kingdom","TY31"
11245,132,"RickyVazquez","M","1962-04-26","120000.00","2020-09-26","Hamburg","Hessen","Germany","22001"
11246,147,"LatashaRubio","F","1962-04-08","120000.00","2020-10-03","Hamburg","Hamburg","Germany","20354"
11247,242,"ClaudiaZhou","F","1961-12-04","130000.00","2020-02-18","Lancaster","England","United Kingdom","LA1 1LN"
11248,223,"TristanAlexander","M","1966-03-22","110000.00","2022-07-14","Saint-Denis","Seine Saint Denis","France","93400"
11249,178,"CindyPatel","F","1966-07-09","130000.00","2020-10-09","Sulzbach Taunus","Saarland","Germany","66272"
11250,276,"ShannonLiu","F","1966-03-08","170000.00","2020-03-17","Woolston","England","United Kingdom","WA1 4SY"
11251,50,"XavierLong","M","1938-01-01","30000.00","2022-10-18","Haney","British Columbia","Canada","V2W 1W2"
11252,335,"NicholasThompson","M","1937-12-05","90000.00","2020-08-14","Lemon Grove","California","United States","91945"
11253,69,"JoséHernandez","M","1949-08-24","60000.00","2022-03-01","Victoria","British Columbia","Canada","V8V"
11254,612,"JohnathanVance","M","1938-08-31","70000.00","2022-11-23","Burien","Washington","United States","98168"
11255,612,"ColinLin","M","1938-10-02","70000.00","2022-02-23","Burien","Washington","United States","98168"
11256,626,"KatelynHernandez","F","1939-03-20","70000.00","2022-04-15","Lynnwood","Washington","United States","98036"
11257,345,"JacquelinePowell","F","1938-07-06","120000.00","2020-08-24","Newport Beach","California","United States","92625"
11258,352,"XavierHill","M","1938-12-26","120000.00","2022-05-21","Palo Alto","California","United States","94303"
11259,548,"VictoriaStewart","F","1970-09-24","100000.00","2020-09-04","Salem","Oregon","United States","97301"
11260,302,"KatelynKelly","F","1976-04-08","110000.00","2022-02-05","Burlingame","California","United States","94010"
11261,359,"StephanieCollins","F","1970-10-22","130000.00","2020-09-27","San Diego","California","United States","92102"
11262,60,"JenniferSimmons","F","1975-05-01","80000.00","2022-02-27","Port Hammond","British Columbia","Canada","V6B 3P7"
